COMPONENT                               | VERSION       | LICENCE                    | URL
----------------------------------------------------------------------------------------------------------------------------------------------
Orange sdk                              | 0.0.3-SNAPSHOT| Apache License 2.0         | https://github.com/DatavenueLiveObjects/FIFO_SDK_LiveObjects/blob/main/LICENSE
Spring Boot Starter Web                 | 2.4.2         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Actuator            | 2.4.2         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Configuration Processor     | 2.4.2         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Failsafe                                | 2.4.0         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Data JPA            | 2.4.2         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
H2 Database Engine                      | 1.4.200       | MPL 2.0 or EPL 1.0         | https://h2database.com/html/license.html
ModelMapper                             | 2.3.9         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Test                | 2.4.2         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
ArchUnit                                | 0.16.0        | BSD or Apache License 2.0  | https://www.apache.org/licenses/LICENSE-2.0 https://asm.ow2.io/license.html
